Part;Value;Device;Package;Description;BOM;DNP;PARTNO
C1;12pF;CPL-CAP-C0G-0603-12PF-50V;C0603;"Capacitor: 12pF, 50V, 5%;";;;
C2;0.1u;CAP0805;0805;Capacitor;;;CC0805ZRY5V9BB104
C3;100uF;CPOL-USD;PANASONIC_D;POLARIZED CAPACITOR, American symbol;;;25TXV100M6.3X8
C4;0.1u;CAP0805;0805;Capacitor;;;CC0805ZRY5V9BB104
C5;0.1uF;CPL-CAP-X5R-0603-0.1UF-35V;C0603;"Capacitor: 0.1uF, 35V, 10%, X5R;";;;
C6;10nF;CPL-CAP-X7R-10NF-16V;C0603;"Capacitor: 10nF(0.01uF), 16V, 5%;";;;
C7;0.1uF;CPL-CAP-X5R-0603-0.1UF-35V;C0603;"Capacitor: 0.1uF, 35V, 10%, X5R;";;;
C8;10nF;CPL-CAP-X7R-10NF-16V;C0603;"Capacitor: 10nF(0.01uF), 16V, 5%;";;;
C9;0.1uF;CPL-CAP-X5R-0603-0.1UF-35V;C0603;"Capacitor: 0.1uF, 35V, 10%, X5R;";;;
C10;10nF;CPL-CAP-X7R-10NF-16V;C0603;"Capacitor: 10nF(0.01uF), 16V, 5%;";;;
C11;12pF;CPL-CAP-C0G-0603-12PF-50V;C0603;"Capacitor: 12pF, 50V, 5%;";;;
C12;12pF;CPL-CAP-C0G-0603-12PF-50V;C0603;"Capacitor: 12pF, 50V, 5%;";;;
C13;0.1uF;CPL-CAP-X5R-0603-0.1UF-35V;C0603;"Capacitor: 0.1uF, 35V, 10%, X5R;";;;
C14;10uF;CPL-CAP-ALU-RAD-10UF-50V;C-RAD-6.3MM;;;;
C15;100 nF;CPL-CAP-X7R-0603-100NF-50V;C0603;"Capacitor: 100nF, 50V, 10%;";;;
C16;470 nF;CPL-CAP-X7R-0603-0.47UF-35V;C0603;;;;
C17;100 nF;CPL-CAP-X7R-0603-100NF-50V;C0603;"Capacitor: 100nF, 50V, 10%;";;;
C18;0.1uF;CPL-CAP-X7R-0603-0.1UF-35V;C0603;"Capacitor: 0.1uF, 35V, 10%, X7R;";;;
C19;0.1uF;CPL-CAP-X7R-0603-0.1UF-35V;C0603;"Capacitor: 0.1uF, 35V, 10%, X7R;";;;
C20;1uF;CPL-CAP-ALU-SMD-1UF-50V;C-SMD-4MM;"Capacitor, Al-Electrolytic: 1uF,  50v, 20%;";;;
C21;470pF;CPL-CAP-X7R-0603-470PF-100V;C0603;"Capacitor: 470pF, 100V, 5%;";;;
C22;10uF;CPL-CAP-ALU-RAD-10UF-50V;C-RAD-6.3MM;;;;
C23;0.1uF;CPL-CAP-X7R-0603-0.1UF-35V;C0603;"Capacitor: 0.1uF, 35V, 10%, X7R;";;;
C24;0.1uF;CPL-CAP-X7R-0603-0.1UF-35V;C0603;"Capacitor: 0.1uF, 35V, 10%, X7R;";;;
C25;0.1uF;CPL-CAP-X7R-0603-0.1UF-35V;C0603;"Capacitor: 0.1uF, 35V, 10%, X7R;";;;
C26;18pF;CPL-CAP-C0G-0603-18PF-50V;C0603;"Capacitor: 18pF, 50V, 5%;";;;
C27;10nF;CPL-CAP-X7R-10NF-16V;C0603;"Capacitor: 10nF(0.01uF), 16V, 5%;";;;
C28;0.1uF;CPL-CAP-X5R-0603-0.1UF-35V;C0603;"Capacitor: 0.1uF, 35V, 10%, X5R;";;;
C29;0.1uF;CPL-CAP-X7R-0603-0.1UF-35V;C0603;"Capacitor: 0.1uF, 35V, 10%, X7R;";;;
C30;18pF;CPL-CAP-C0G-0603-18PF-50V;C0603;"Capacitor: 18pF, 50V, 5%;";;;
C31;18pF;CPL-CAP-C0G-0603-18PF-50V;C0603;"Capacitor: 18pF, 50V, 5%;";;;
C32;18pF;CPL-CAP-C0G-0603-18PF-50V;C0603;"Capacitor: 18pF, 50V, 5%;";;;
C33;1uF;CPL-CAP-X5R-0603-1UF-50V;C0603;"Capacitor: 0.1uF, 50V, 10%;";;;
C34;0.1uF;CPL-CAP-X5R-0603-0.1UF-35V;C0603;"Capacitor: 0.1uF, 35V, 10%, X5R;";;;
C35;1uF;CPL-CAP-X5R-0603-1UF-50V;C0603;"Capacitor: 0.1uF, 50V, 10%;";;;
C36;1uF;CPL-CAP-X5R-0603-1UF-50V;C0603;"Capacitor: 0.1uF, 50V, 10%;";;;
C37;220uF;CPL-CAP-ALU-SMD-220-50V;C-SMD-10MM;"Capacitor: Al-Electrolytic, 220uF, 50V;";;;
C38;470uF;CPL-CAP-ALU-SMD-470UF-25V;C-SMD-10MM;"Capacitor: Al-Electrolytic, 470uF, 25V;";;;
C39;100 nF;CPL-CAP-X7R-0603-100NF-50V;C0603;"Capacitor: 100nF, 50V, 10%;";;;
C40;470 nF;CPL-CAP-X7R-0603-0.47UF-35V;C0603;;;;
C41;100 nF;CPL-CAP-X7R-0603-100NF-50V;C0603;"Capacitor: 100nF, 50V, 10%;";;;
C42;100 nF;CPL-CAP-X7R-0603-100NF-50V;C0603;"Capacitor: 100nF, 50V, 10%;";;;
C43;470pF;CPL-CAP-X7R-0603-470PF-100V;C0603;"Capacitor: 470pF, 100V, 5%;";;;
C44;470pF;CPL-CAP-X7R-0603-470PF-100V;C0603;"Capacitor: 470pF, 100V, 5%;";;;
C45;470pF;CPL-CAP-X7R-0603-470PF-100V;C0603;"Capacitor: 470pF, 100V, 5%;";;;
C46;470pF;CPL-CAP-X7R-0603-470PF-100V;C0603;"Capacitor: 470pF, 100V, 5%;";;;
C47;100nF;CPL-CAP-X7R-0603-100NF-50V;C0603;"Capacitor: 100nF, 50V, 10%;";;;
C48;100nF;CPL-CAP-X7R-0603-100NF-50V;C0603;"Capacitor: 100nF, 50V, 10%;";;;
C49;22 nF;"CPL-CAP-X7R-0603-22NF-50V"";C0603""";;Capacitor: 22nF, 50V, 10%,;;;
C50;0.33uF;CPL-CAP-X7R-0603-0.33UF-35V;C0603;"Capacitor: 0.33uF, 35V, 10%, X7R;";;;
"
C51";100 nF;CPL-CAP-X7R-0603-100NF-50V;C0603;"Capacitor: 100nF, 50V, 10%;";;;
C52;100 nF;CPL-CAP-X7R-0603-100NF-50V;C0603;"Capacitor: 100nF, 50V, 10%;";;;
C53;470pF;CPL-CAP-X7R-0603-470PF-100V;C0603;"Capacitor: 470pF, 100V, 5%;";;;
C54;470pF;CPL-CAP-X7R-0603-470PF-100V;C0603;"Capacitor: 470pF, 100V, 5%;";;;
C55;470pF;CPL-CAP-X7R-0603-470PF-100V;C0603;"Capacitor: 470pF, 100V, 5%;";;;
C56;470pF;CPL-CAP-X7R-0603-470PF-100V;C0603;"Capacitor: 470pF, 100V, 5%;";;;
C57;100nF;CPL-CAP-X7R-0603-100NF-50V;C0603;"Capacitor: 100nF, 50V, 10%;";;;
C58;100nF;CPL-CAP-X7R-0603-100NF-50V;C0603;"Capacitor: 100nF, 50V, 10%;";;;
C59;22 nF;"CPL-CAP-X7R-0603-22NF-50V"";C0603""";;Capacitor: 22nF, 50V, 10%,;;;
C60;0.33uF;CPL-CAP-X7R-0603-0.33UF-35V;C0603;"Capacitor: 0.33uF, 35V, 10%, X7R;";;;
C61;100 nF;CPL-CAP-X7R-0603-100NF-50V;C0603;"Capacitor: 100nF, 50V, 10%;";;;
C62;100 nF;CPL-CAP-X7R-0603-100NF-50V;C0603;"Capacitor: 100nF, 50V, 10%;";;;
C63;470 nF;CPL-CAP-X7R-0603-0.47UF-35V;C0603;;;;
C64;100 nF;CPL-CAP-X7R-0603-100NF-50V;C0603;"Capacitor: 100nF, 50V, 10%;";;;
C65;100 nF;CPL-CAP-X7R-0603-100NF-50V;C0603;"Capacitor: 100nF, 50V, 10%;";;;
C66;470pF;CPL-CAP-X7R-0603-470PF-100V;C0603;"Capacitor: 470pF, 100V, 5%;";;;
C67;470pF;CPL-CAP-X7R-0603-470PF-100V;C0603;"Capacitor: 470pF, 100V, 5%;";;;
C68;470pF;CPL-CAP-X7R-0603-470PF-100V;C0603;"Capacitor: 470pF, 100V, 5%;";;;
C69;470pF;CPL-CAP-X7R-0603-470PF-100V;C0603;"Capacitor: 470pF, 100V, 5%;";;;
C70;100nF;CPL-CAP-X7R-0603-100NF-50V;C0603;"Capacitor: 100nF, 50V, 10%;";;;
C71;100nF;CPL-CAP-X7R-0603-100NF-50V;C0603;"Capacitor: 100nF, 50V, 10%;";;;
C72;22 nF;"CPL-CAP-X7R-0603-22NF-50V"";C0603""";Capacitor Specs: 22nF, 50V, 10%,;;;;
C73;0.33uF;CPL-CAP-X7R-0603-0.33UF-35V;C0603;"Capacitor: 0.33uF, 35V, 10%, X7R;";;;
C74;100 nF;CPL-CAP-X7R-0603-100NF-50V;C0603;"Capacitor: 100nF, 50V, 10%;";;;
C75;12pF;CPL-CAP-C0G-0603-12PF-50V;C0603;"Capacitor: 12pF, 50V, 5%;";;;
D1;1N4148;DIODESOD123;SOD-123;Diode;;;1N4148W-7-F
D2;SJPB-H6;CPL-DIO-SJPB-H6-SM2;DIO-SM2;Diode: Rectifier, Schottky, 40V;;;
D3;MSS1P6;CPL-DIO-MSS1P6-MICROSMP;MICRO-SMP;"Diode: Rectifier, 1A, 60V;";;;
D4;MSS1P6;CPL-DIO-MSS1P6-MICROSMP;MICRO-SMP;"Diode: Rectifier, 1A, 60V;";;;
D5;MSS1P6;CPL-DIO-MSS1P6-MICROSMP;MICRO-SMP;"Diode: Rectifier, 1A, 60V;";;;
D6;MSS1P6;CPL-DIO-MSS1P6-MICROSMP;MICRO-SMP;"Diode: Rectifier, 1A, 60V;";;;
D7;MSS1P6;CPL-DIO-MSS1P6-MICROSMP;MICRO-SMP;"Diode: Rectifier, 1A, 60V;";;;
D8;MSS1P6;CPL-DIO-MSS1P6-MICROSMP;MICRO-SMP;"Diode: Rectifier, 1A, 60V;";;;
D9;MSS1P6;CPL-DIO-MSS1P6-MICROSMP;MICRO-SMP;"Diode: Rectifier, 1A, 60V;";;;
D10;MSS1P6;CPL-DIO-MSS1P6-MICROSMP;MICRO-SMP;"Diode: Rectifier, 1A, 60V;";;;
D11;MSS1P6;CPL-DIO-MSS1P6-MICROSMP;MICRO-SMP;"Diode: Rectifier, 1A, 60V;";;;
D12;MSS1P6;CPL-DIO-MSS1P6-MICROSMP;MICRO-SMP;"Diode: Rectifier, 1A, 60V;";;;
D13;MSS1P6;CPL-DIO-MSS1P6-MICROSMP;MICRO-SMP;"Diode: Rectifier, 1A, 60V;";;;
D14;MSS1P6;CPL-DIO-MSS1P6-MICROSMP;MICRO-SMP;"Diode: Rectifier, 1A, 60V;";;;
FB1;BLM15HBK1608H220-T0603;BLM15HBK1608H220-T0603;F0603;EMIFIL (R) Chip Ferrite Bead for GHz Noise;;;
FB2;BK1608H220-T;BLM15HBK1608H220-T0603;F0603;EMIFIL (R) Chip Ferrite Bead for GHz Noise;;;
FID1;FIDUCIAL;FIDUCIAL;FIDUCIAL;;EXCLUDE;;
FID2;FIDUCIAL;FIDUCIAL;FIDUCIAL;;EXCLUDE;;
FID3;FIDUCIAL;FIDUCIAL;FIDUCIAL;;EXCLUDE;;
FID4;FIDUCIAL;FIDUCIAL;FIDUCIAL;;EXCLUDE;;
FID5;FIDUCIAL;FIDUCIAL;FIDUCIAL;;EXCLUDE;;
FID6;FIDUCIAL;FIDUCIAL;FIDUCIAL;;EXCLUDE;;
FID7;FIDUCIAL;FIDUCIAL;FIDUCIAL;;EXCLUDE;;
IC1;74AHCT;CPL-IIC-BUF-74AHCT-SC70;SC70;"Buffer/Line Driver: 74AHCT-Series, Vin=3-5.5V;";;;
J4;8-PIN HDR;CPL-CON-HEADER-0.1IN-8P-M;CON-HDR-8POS-MALE;;;;
J5;8-PIN HDR;CPL-CON-HEADER-0.1IN-8P-M;CON-HDR-8POS-MALE;;;;
J7;CONN-0.1-RA-1X3;MA03-1;MA03-1;PIN HEADER;;;CONN-0.1-RA-1X3
J8;CONN-0.1-RA-1X3;MA03-1;MA03-1;PIN HEADER;;;CONN-0.1-RA-1X3
J9;CONN-0.1-RA-1X3;MA03-1;MA03-1;PIN HEADER;;;CONN-0.1-RA-1X3
J10;UART0;CPL-CON-HEADER-0.1IN-6P-M;CON-HDR-6POS-MALE;"Connector: Header, 0.1-Pitch, 6-Pos, Pins (Male)""";;;
J11;HR911105A;CPL-ETH-MACJACK-LED-SHLD;MAGJACK(HR911105A);"Connector: Ethernet, MagJack, RJ-45, Status LEDs+Shield;";;;
J12;USD-SOCKETSMD;USD-SOCKETSMD;MICRO-SD-SOCKET-PP;microSD Socket;;;
J13;USB-B;CPL-CON-USB-B;USB-B(THRU);Connector: USB, B-type;;;
J14;SWD;CPL-CON-HEADER-0.05IN-10P-M;FTSH-105-01-XXX-DV-K;;;;
J15;8-PIN HDR;CPL-CON-HEADER-0.1IN-8P-M;CON-HDR-8POS-MALE;;;;
J16;CPL-CON-HEADER-0.1IN-8P-M;CPL-CON-HEADER-0.1IN-8P-M;CON-HDR-8POS-MALE;;;;
J18;8-PIN HDR;CPL-CON-HEADER-0.1IN-8P-M;CON-HDR-8POS-MALE;;;;
J19;8-PIN HDR;CPL-CON-HEADER-0.1IN-8P-M;CON-HDR-8POS-MALE;;;;
J22A;OSTTH050160;CONN-OSTTH050160;CONN-OSTTH050160;;;;OSTTH050160
J31;CONN-0.1-S-1X2;MA02-1;MA02-1;;;;CONN-0.1-S-1X2
L1;100uH;CPL-IND-100UH-1.8A;L-SMD-12.5MM;"Inductor: SMD, 100uH, 1.78A;";;;
LED4;GREEN;CPL-LED-0603-GREEN;LED0603;"LED: Green;";;;
LED5;GREEN;CPL-LED-0603-GREEN;LED0603;"LED: Green;";;;
LED6;GREEN;CPL-LED-0603-GREEN;LED0603;"LED: Green;";;;
LED7;GREEN;CPL-LED-0603-GREEN;LED0603;"LED: Green;";;;
LED8;RED;CPL-LED-0603-RED;LED0603;"LED: Red;";;;
LED9;RED;CPL-LED-0603-RED;LED0603;"LED: Red;";;;
LED10;RED;CPL-LED-0603-RED;LED0603;"LED: Red;";;;
LOGO1;LOGO-FIREPICKLARGE;LOGO-FIREPICKLARGE;LOGO-FIREPICK;;EXCLUDE;;
LOGO2;LOGO-OSHWMEDIUM;LOGO-OSHWMEDIUM;LOGO-OSHW-MEDIUM;;EXCLUDE;;
LOGO3;LOGO-CC-BY-SALARGE;LOGO-CC-BY-SALARGE;LOGO-CC-BY-SA;;EXCLUDE;T;
LOGO4;LOGO-FIREPICKLARGE;LOGO-FIREPICKLARGE;LOGO-FIREPICK;;EXCLUDE;;
LOGO5;LOGO-OSHWMEDIUM;LOGO-OSHWMEDIUM;LOGO-OSHW-MEDIUM;;EXCLUDE;;
LOGO6;LOGO-CC-BY-SALARGE;LOGO-CC-BY-SALARGE;LOGO-CC-BY-SA;;EXCLUDE;T;
LOGO7;LOGO-CC-BY-SALARGE;LOGO-CC-BY-SALARGE;LOGO-CC-BY-SA;;EXCLUDE;T;
